province;region;district
TOAMASINA;ALAOTRA_MANGORO;Ambatondrazaka
TOAMASINA;ALAOTRA_MANGORO;Amparafaravola
TOAMASINA;ALAOTRA_MANGORO;Andilamena
TOAMASINA;ALAOTRA_MANGORO;Anosibe An’Ala
TOAMASINA;ALAOTRA_MANGORO;Moramanga
FIANARANTSOA;AMORON_I_MANIA;Ambatofinandrahana
FIANARANTSOA;AMORON_I_MANIA;Ambositra
FIANARANTSOA;AMORON_I_MANIA;Fandriana
FIANARANTSOA;AMORON_I_MANIA;Manandriana
ANTANANARIVO;ANALAMANGA;Ambohidratrimo
ANTANANARIVO;ANALAMANGA;Andramasina
ANTANANARIVO;ANALAMANGA;Anjozorobe
ANTANANARIVO;ANALAMANGA;Ankazobe
ANTANANARIVO;ANALAMANGA;Antananarivo-Atsimondrano
ANTANANARIVO;ANALAMANGA;Antananarivo-Avaradrano
ANTANANARIVO;ANALAMANGA;Antananarivo-Renivohitra
ANTANANARIVO;ANALAMANGA;Manjakandriana
ANTANANARIVO;ANALAMANGA;TANA I
ANTANANARIVO;ANALAMANGA;TANA II
ANTANANARIVO;ANALAMANGA;TANA III
ANTANANARIVO;ANALAMANGA;TANA IV
ANTANANARIVO;ANALAMANGA;TANA V
ANTANANARIVO;ANALAMANGA;TANA VI
TOAMASINA;ANALANJIROFO;Fénérive-Est
TOAMASINA;ANALANJIROFO;Mananara Avaratra
TOAMASINA;ANALANJIROFO;Sainte-Marie
TOAMASINA;ANALANJIROFO;Soanierana Ivongo
TOAMASINA;ANALANJIROFO;Maroantsetra
TOAMASINA;ANALANJIROFO;Vavatenina
TOLIARA;ANDROY;Ambovombe Androy
TOLIARA;ANDROY;Bekily
TOLIARA;ANDROY;Beloha
TOLIARA;ANDROY;Tsihombe
TOLIARA;ANDROY;Antanimora Sud
TOLIARA;ANOSY;Amboasary Atsimo
TOLIARA;ANOSY;Betroka
TOLIARA;ANOSY;Tolagnaro
TOLIARA;ATSIMO_ANDREFANA;Ankazoabo
TOLIARA;ATSIMO_ANDREFANA;Beroroha
TOLIARA;ATSIMO_ANDREFANA;Manja
TOLIARA;ATSIMO_ANDREFANA;Ampanihy Ouest
TOLIARA;ATSIMO_ANDREFANA;Benenitra
TOLIARA;ATSIMO_ANDREFANA;Betioky Atsimo
TOLIARA;ATSIMO_ANDREFANA;Morombe
TOLIARA;ATSIMO_ANDREFANA;Sakaraha
TOLIARA;ATSIMO_ANDREFANA;Toliara I
TOLIARA;ATSIMO_ANDREFANA;Toliara II
FIANARANTSOA;ATSIMO_ATSINANANA;Befotaka Atsimo
FIANARANTSOA;ATSIMO_ATSINANANA;Farafangana
FIANARANTSOA;ATSIMO_ATSINANANA;Midongy Atsimo
FIANARANTSOA;ATSIMO_ATSINANANA;Vangaindrano
FIANARANTSOA;ATSIMO_ATSINANANA;Vondrozo
TOAMASINA;ATSINANANA;Brickaville
TOAMASINA;ATSINANANA;Mahanoro
TOAMASINA;ATSINANANA;Marolambo
TOAMASINA;ATSINANANA;Toamasina I
TOAMASINA;ATSINANANA;Toamasina II
TOAMASINA;ATSINANANA;Antanambao Manampotsy
TOAMASINA;ATSINANANA;Vatomandry
MAHAJANGA;BETSIBOKA;Kandreho
MAHAJANGA;BETSIBOKA;Maevatanana
MAHAJANGA;BETSIBOKA;Tsaratanana
MAHAJANGA;BOENY;Ambato Boeny
MAHAJANGA;BOENY;Mahajanga I
MAHAJANGA;BOENY;Mahajanga II
MAHAJANGA;BOENY;Marovoay
MAHAJANGA;BOENY;Mitsinjo
MAHAJANGA;BOENY;Soalala
ANTANANARIVO;BONGOLAVA;Fenoarivobe
ANTANANARIVO;BONGOLAVA;Tsiroanomandidy
ANTSIRANANA;DIANA;Ambanja
ANTSIRANANA;DIANA;Ambilobe
ANTSIRANANA;DIANA;Antsiranana I
ANTSIRANANA;DIANA;Antsiranana II
ANTSIRANANA;DIANA;Nosy-Be
FIANARANTSOA;FITOVINANY;Ikongo
FIANARANTSOA;FITOVINANY;Manakara
FIANARANTSOA;FITOVINANY;Vohipeno
FIANARANTSOA;MATSIATRA_AMBONY;Ambalavao
FIANARANTSOA;MATSIATRA_AMBONY;Ambohimahasoa
FIANARANTSOA;MATSIATRA_AMBONY;Fianarantsoa II
FIANARANTSOA;MATSIATRA_AMBONY;Fianarantsoa I
FIANARANTSOA;MATSIATRA_AMBONY;Ikalamavony
FIANARANTSOA;MATSIATRA_AMBONY;Isandra
FIANARANTSOA;MATSIATRA_AMBONY;Lalangina
FIANARANTSOA;MATSIATRA_AMBONY;Vohibato
FIANARANTSOA;IHOROMBE;Iakora
FIANARANTSOA;IHOROMBE;Ihosy
FIANARANTSOA;IHOROMBE;Ivohibe
ANTANANARIVO;ITASY;Arivonimamo
